assessment_name,question_label,assessment_regex,question_regex
QIDS,Q3: Early morning insomnia,\yQIDS\y,"early morning|waking.*early|Q.?3\y|item.?3\y"
QIDS,Q4: Hypersomnia,\yQIDS\y,"hypersomnia|sleeping too much|Q.?4\y|item.?4\y"
QIDS,Q5: Feeling sad,\yQIDS\y,"feeling sad|sad mood|Q.?5\y|item.?5\y"
QIDS,Q6: Decreased appetite,\yQIDS\y,"decreased appetite|appetite.*decreas|Q.?6\y|item.?6\y"
QIDS,Q7: Increased appetite,\yQIDS\y,"increased appetite|appetite.*increas|Q.?7\y|item.?7\y"
QIDS,Q8: Decreased weight,\yQIDS\y,"decreased weight|weight.*decreas|weight.*loss|Q.?8\y|item.?8\y"
QIDS,Q9: Increased weight,\yQIDS\y,"increased weight|weight.*increas|weight.*gain|Q.?9\y|item.?9\y"
QIDS,Q10: Concentration/decision making,\yQIDS\y,"concentrat|decision|Q.?10\y|item.?10\y"
QIDS,Q11: Self-criticism/self-outlook,\yQIDS\y,"self.?criticism|self.?outlook|view of myself|Q.?11\y|item.?11\y"
QIDS,Q12: Suicidal ideation,\yQIDS\y,"suicid|death|Q.?12\y|item.?12\y"
QIDS,Q13: General interest,\yQIDS\y,"general interest|Q.?13\y|item.?13\y"
QIDS,Q14: Energy/fatigability,\yQIDS\y,"energy|fatigu|Q.?14\y|item.?14\y"
QIDS,Q15: Psychomotor slowing,\yQIDS\y,"psychomotor slow|slowed down|Q.?15\y|item.?15\y"
QIDS,Q16: Psychomotor agitation,\yQIDS\y,"psychomotor agitat|restless|Q.?16\y|item.?16\y"
MSE,Appearance,mental.?status.?exam,appearance
MSE,Behavior,mental.?status.?exam,"behavior|behaviour"
MSE,Speech,mental.?status.?exam,speech
MSE,Mood,mental.?status.?exam,mood
MSE,Affect,mental.?status.?exam,affect
MSE,Thought Process,mental.?status.?exam,thought process
MSE,Thought Content,mental.?status.?exam,thought content
MSE,Perception,mental.?status.?exam,perception
MSE,Cognition,mental.?status.?exam,cognition
MSE,Insight,mental.?status.?exam,insight
MSE,Judgment,mental.?status.?exam,"judgment|judgement"
ANSA,Life Domain Functioning,"\yANSA\y|adult needs.*strength","life domain|living situation|employment|education|social function|legal|self.?care"
ANSA,Behavioral/Emotional Needs,"\yANSA\y|adult needs.*strength","behavioral|emotional need|psychosis|impulse|depression|anxiety|mania|interpersonal"
ANSA,Risk Behaviors,"\yANSA\y|adult needs.*strength","risk behav|danger to self|danger to other|self.?harm|suicide.*risk"
ANSA,Strengths,"\yANSA\y|adult needs.*strength","strength|family.*strength|interpersonal.*strength|coping|spiritual|talent|educational.*strength|vocational.*strength"
ANSA,Substance Use,"\yANSA\y|adult needs.*strength","substance|alcohol|drug"
ANSA,Trauma,"\yANSA\y|adult needs.*strength","trauma|abuse|neglect|PTSD"
BASIS-24,Total Score,BASIS.?24,"total|sum|overall|composite"
BASIS-24,Depression/Functioning Subscale,BASIS.?24,"depression.*function|function.*subscale"
BASIS-24,Interpersonal Relationships Subscale,BASIS.?24,"interpersonal|relationship.*subscale"
BASIS-24,Self-Harm Subscale,BASIS.?24,"self.?harm.*sub|self.?harm.*scale"
BASIS-24,Emotional Lability Subscale,BASIS.?24,"emotional labil|lability.*sub"
BASIS-24,Psychosis Subscale,BASIS.?24,"psychosis.*sub|psychosis.*scale"
BASIS-24,Substance Abuse Subscale,BASIS.?24,"substance.*sub|substance.*scale"
BASIS-24,Q1: Managing day to day life,BASIS.?24,"day to day|managing|Q.?1\y|item.?1\y"
BASIS-24,Q2: Household responsibilities,BASIS.?24,"household|Q.?2\y|item.?2\y"
BASIS-24,Q3: Work/school,BASIS.?24,"work|school|Q.?3\y|item.?3\y"
BASIS-24,Q4: Concentration,BASIS.?24,"concentrat|Q.?4\y|item.?4\y"
BASIS-24,Q5: Enjoying activities,BASIS.?24,"enjoy|Q.?5\y|item.?5\y"
BASIS-24,Q6-Q9: Relationship items,BASIS.?24,"relationship|close to other|social|relating|Q.?[6-9]\y|item.?[6-9]\y"
BASIS-24,Q10-Q12: Depression items,BASIS.?24,"depression|hopeless|worthless|Q.?1[0-2]\y|item.?1[0-2]\y"
BASIS-24,Q13-Q14: Self-harm items,BASIS.?24,"self.?harm|suicid|hurting|Q.?1[3-4]\y|item.?1[3-4]\y"
BASIS-24,Q15-Q16: Emotional lability items,BASIS.?24,"emotional|impuls|Q.?1[5-6]\y|item.?1[5-6]\y"
BASIS-24,Q17-Q18: Psychosis items,BASIS.?24,"psychos|hear.*voice|paranoi|Q.?1[7-8]\y|item.?1[7-8]\y"
BASIS-24,Q19-Q24: Substance items,BASIS.?24,"substance|alcohol|drug|Q.?(19|2[0-4])\y|item.?(19|2[0-4])\y"
PSQ,Total Score,\yPSQ\y,"total|sum|overall|composite"
PSQ,Q1,\yPSQ\y,"Q.?1\y|item.?1\y|question.?1\y"
PSQ,Q2,\yPSQ\y,"Q.?2\y|item.?2\y|question.?2\y"
PSQ,Q3,\yPSQ\y,"Q.?3\y|item.?3\y|question.?3\y"
PSQ,Q4,\yPSQ\y,"Q.?4\y|item.?4\y|question.?4\y"
PSQ,Q5,\yPSQ\y,"Q.?5\y|item.?5\y|question.?5\y"
PSQ,Q6,\yPSQ\y,"Q.?6\y|item.?6\y|question.?6\y"
PSQ,Q7,\yPSQ\y,"Q.?7\y|item.?7\y|question.?7\y"
PSQ,Q8,\yPSQ\y,"Q.?8\y|item.?8\y|question.?8\y"
PSQ,Q9,\yPSQ\y,"Q.?9\y|item.?9\y|question.?9\y"
PSQ,Q10,\yPSQ\y,"Q.?10\y|item.?10\y|question.?10\y"
PSE-17,Total Score,PSE.?17,"total|sum|overall|composite"
PSE-17,Q1,PSE.?17,"Q.?1\y|item.?1\y|question.?1\y"
PSE-17,Q2,PSE.?17,"Q.?2\y|item.?2\y|question.?2\y"
PSE-17,Q3,PSE.?17,"Q.?3\y|item.?3\y|question.?3\y"
PSE-17,Q4,PSE.?17,"Q.?4\y|item.?4\y|question.?4\y"
PSE-17,Q5,PSE.?17,"Q.?5\y|item.?5\y|question.?5\y"
PSE-17,Q6,PSE.?17,"Q.?6\y|item.?6\y|question.?6\y"
PSE-17,Q7,PSE.?17,"Q.?7\y|item.?7\y|question.?7\y"
PSE-17,Q8,PSE.?17,"Q.?8\y|item.?8\y|question.?8\y"
PSE-17,Q9,PSE.?17,"Q.?9\y|item.?9\y|question.?9\y"
PSE-17,Q10,PSE.?17,"Q.?10\y|item.?10\y|question.?10\y"
PSE-17,Q11,PSE.?17,"Q.?11\y|item.?11\y|question.?11\y"
PSE-17,Q12,PSE.?17,"Q.?12\y|item.?12\y|question.?12\y"
PSE-17,Q13,PSE.?17,"Q.?13\y|item.?13\y|question.?13\y"
PSE-17,Q14,PSE.?17,"Q.?14\y|item.?14\y|question.?14\y"
PSE-17,Q15,PSE.?17,"Q.?15\y|item.?15\y|question.?15\y"
PSE-17,Q16,PSE.?17,"Q.?16\y|item.?16\y|question.?16\y"
PSE-17,Q17,PSE.?17,"Q.?17\y|item.?17\y|question.?17\y"
Pain,Numeric Rating Scale (NRS),"pain.*(scale|score|rating|intensity)|numeric.*pain|visual.*analo.*pain|brief pain inv|wong.?baker","numeric|NRS|\y0.?10\y"
Pain,Visual Analog Scale (VAS),"pain.*(scale|score|rating|intensity)|numeric.*pain|visual.*analo.*pain|brief pain inv|wong.?baker","visual.*analog|VAS"
Pain,Brief Pain Inventory,"pain.*(scale|score|rating|intensity)|numeric.*pain|visual.*analo.*pain|brief pain inv|wong.?baker","brief pain inv|BPI"
Pain,Wong-Baker FACES,"pain.*(scale|score|rating|intensity)|numeric.*pain|visual.*analo.*pain|brief pain inv|wong.?baker","wong.?baker|FACES"
Pain,Pain Severity,"pain.*(scale|score|rating|intensity)|numeric.*pain|visual.*analo.*pain|brief pain inv|wong.?baker","severity|worst|least|average|current.*pain"
Pain,Pain Interference,"pain.*(scale|score|rating|intensity)|numeric.*pain|visual.*analo.*pain|brief pain inv|wong.?baker","interference|function|activit|mood|walking|work|relation|sleep|enjoyment"
